Espacenet;;;;;;;;;;;
Patent search;;;;;;;;;;;
"307 results found for (ctxt any ""fuel"" AND (ctxt any ""assemb*"" OR ctxt any ""bundl*"" OR ctxt any ""cartridg*"")) AND (ctxt any ""nuclear"" OR (ctxt any ""boil*"" AND ctxt any ""water*"")) AND ((ctxt any ""head*"" OR ctxt any ""cover*"") OR ((ctxt any ""top*"" OR ctxt any ""upper*"") AND (ctxt any ""nozzl*"" OR ctxt any ""cap*"" OR ctxt any ""lid*"" OR ctxt any ""plat*"" OR ctxt any ""end*"" OR ctxt any ""hood*"" OR ctxt any ""stem*""))) AND pd > ""2005-01-01"" AND (pn any ""FR"" OR pn any ""EP"")";;;;;;;;;;;
Results 1 to 307 displayed;;;;;;;;;;;
Query language: en / de / fr;;;;;;;;;;;
Sort by: Relevance;;;;;;;;;;;
;;;;;;;;;;;
No;Title;Abstract;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
259;METHOD AND SYSTEM TO DETECT AND LOCATE THE IN-CORE POSITION OF FUEL BUNDLES WITH CLADDING PERFORATIONS IN CANDU-STYLE NUCLEAR REACTORS;The method is well-suited for use in a reactor having a plurality of cladding tubes housed in a plurality of linearly arranged channels for flowing coolant past the cl adding tubes. The method includes monitoring channels for the occurrence of an increase in radiation above selected base lines indicative of the presence of at least one fission product in the coolant in at least one of the plurality7 of channels, monitoring the channels for the occurrence of time dependent changes in the strength of radiation in the coolant above the base line along the length of at least one of the plurality of channels. The leak location is calculated by triangulating the radiation readings from a fixed linear array of detectors positioned adjacent to the channel s to determine the location of the strongest radiation reading and the location along the length of the channel where the increase in radiation occurred.;"HEIBEL MICHAEL D [US] 
ARNDT JEFFREY L [US]";WESTINGHOUSE ELECTRIC CO LLC [US];"EP3984047A1 
EP3984047B1";12.06.2019;"H01L31/108 
H01L31/118 
G01T1/24 
G21C17/04 
G21C17/10 
H01L31/0232 
H01L31/10 
H01L31/115";"G01T1/24 (EP,KR,US) 
G21C17/041 (KR,US) 
G21C17/044 (EP,KR,US) 
G21C17/047 (KR,US) 
G21C17/048 (KR) 
G21C17/10 (EP,KR) 
H10F30/20 (EP,KR) 
H10F30/29 (EP,KR) 
H10F77/40 (EP,KR) 
G21C17/048 (US) 
G21C17/10 (US) 
H10F30/20 (US) 
H10F30/29 (US) 
Y02E30/30 (EP,KR)";"2022-04-20 
2023-08-23";17.12.2020;71944232
260;Apparatus and method for welding strap connections between inner grid straps of spacer grid using laser tool, and spacer grid manufactured using the same;Disclosed are an apparatus and method for welding strap connections between inner grid straps of a spacer grid using a laser tool, and a spacer grid manufactured by the same, in which the strap connections between the inner grid straps of the spacer grid are seam-welded continuously or intermittently using the laser tool, so that the structural strength of the spacer grid is increased, a spattering phenomenon, in which a welded material is spattered during welding, is reduced, and thermal deformation is reduced. Further, fine welding is possible, and thus the welded bead of each strap connection between the inner grid straps can have a small size, and the number of welding defects can be reduced. In addition, the flow resistance of a coolant is reduced, and thereby the pressure drop of the coolant can be reduced. As a result, the load on a flow pump for the coolant can be reduced, and economic efficiency and safety can be improved.;"SONG KEE NAM [KR] 
KIM SOO SUNG [KR] 
SONG KUN WOO [KR]";"KOREA ATOMIC ENERGY RES [KR] 
KOREA HYDRO & NUCLEAR POWER CO [KR]";"EP1858029A1 
EP1858029B1";19.05.2006;"B23K26/08 
G21C3/34";"B23K26/0619 (EP,US) 
B23K26/0884 (EP,US) 
B23K26/106 (EP,US) 
B23K26/26 (EP,US) 
B23K37/0408 (EP,US) 
B23K37/0461 (EP,US) 
G21C3/3424 (EP,US) 
B23K2101/045 (EP,US) 
Y02E30/30 (EP,US)";"2007-11-21 
2010-08-11";21.11.2007;38331724
261;DISPOSAL ROBOT AND ROBOTIC SYSTEM ASSEMBLY FOR DISPOSAL OF DISPOSAL CASKS IN A DEEP GEOLOGICAL REPOSITORY;The proposed solution is a robotic system assembly for disposal of disposal casks (3) in the deep geological repository (5) including a system of underground corridor structures and boreholes with the railway transport network (2) with trolley wires, and a disposal robot (36) of a robotic system for disposal of disposal casks (3) in the deep geological repository (5) as its main parts designed to implement the process of transport, manipulation, disposal and backfilling of disposal casks (3) with spent nuclear fuel into the underground horizontal or subhorizontal boreholes of deep geological repository (5). Robotic system assembly (1) installed in a deep geological repository (5) is provided as its basic element with a disposal robot (36) of a robotic system for disposal of disposal casks (3) in the deep geological repository (5), where the starting point of the disposal robot (36) is a vehicle (30) with turntable - conveyance vehicle of the disposal robot, and further it is equipped with a conveyance vehicle (6) for transport of bentonite fillings (4) and disposal casks (3).;"HALADOVA PETRA [CZ] 
HALADA PAVEL [CZ] 
POLAK DANIEL [CZ] 
SVOBODA TOMAS [CZ]";"ROBOTSYSTEM S R O [CZ] 
HALADOVA PETRA [CZ]";"EP3407360A1 
EP3407360B1";07.04.2017;"B60K7/00 
G21F5/14 
G21F9/34 
G21F7/00";"G21F5/14 (EP) 
G21F9/34 (EP) 
G21F7/00 (EP)";"2018-11-28 
2020-02-19";04.07.2018;62044638
262;NUCLEAR REACTOR COMPRISING A FILTRATION DEVICE IN THE IRWST TANK;"The nuclear reactor (1) comprises: - a water-storage tank (15), having at least one opening (37) allowing the flowing of a flow of liquid to the inside of the tank (15) in the event of an accident; - an emergency cooling circuit (33) of the core (7), comprising a transfer member (25) having a suction in fluid communication with the tank (15); - a filtering device (39) for filtering the flow of liquid, arranged in the tank (15), and interposed between the opening (37) and the suction of the transfer member (25). The filtration device (39) comprises a filtering volume (45) delimited in the tank (15) under the opening (37), the filtering volume (45) being delimited on one side by the side wall (9, 21) and on a second side, opposite to the first, by a filtering wall (47) extending to the bottom (19) and attached to the side wall (21, 9).";"LOYAT PATRICK [FR] 
WEILER ADRIEN [FR] 
ZAHRI NASSER [FR]";FRAMATOME SA [FR];"EP3317884A1 
EP3317884B1";03.07.2015;"B01D35/027 
G21C15/18 
G21C9/004";"G21C15/18 (EP,KR) 
G21C9/004 (KR) 
G21C9/004 (EP) 
Y02E30/30 (EP,KR)";"2018-05-09 
2020-01-29";06.01.2017;53801106
263;PROCEDE ET DISPOSITIF DE NETTOYAGE D'UN ASSEMBLAGE DE CRAYONS DE COMBUSTIBLE NUCLEAIRE;"L'invention concerne un procÈdÈ de nettoyage d'un assemblage de crayons de combustible nuclÈaire plongÈ dans un liquide, dans lequel : - on projette un liquide de nettoyage vers l'assemblage de crayons en provoquant la rotation d'un jet du liquide de nettoyage, et de sorte que l'enveloppe formÈe par le jet rotatif diverge ; - on forme un courant de gaz qui entoure une partie au moins du jet de liquide de nettoyage ; et - on provoque un dÈplacement relatif du jet rotatif de liquide et du courant de gaz qui l'entoure, par rapport ‡ l'assemblage de crayons.";RODIAC FREDERIC [FR];COMMISSARIAT ENERGIE ATOMIQUE [FR];FR3015758A1;23.12.2013;"B08B3/02 
G21C17/06";"B05B7/0815 (EP) 
B08B3/022 (EP) 
B08B3/024 (EP) 
B08B5/02 (EP) 
B08B5/023 (EP) 
G21C19/207 (EP) 
G21C19/32 (EP) 
B05B13/04 (EP) 
B05B13/0421 (EP) 
B05B14/30 (EP) 
Y02E30/30 (EP)";26.06.2015;26.06.2015;50624638
264;WIRELESS DETONATOR ASSEMBLIES, AND CORRESPONDING NETWORKS;"Wireless detonator assemblies (51-59) in use, form a cross-communicating network of wireless ""detonator assemblies, such that communication of each wireless detonator assembly (57-59) with an associated blasting machine (50) can occur either directly, or vi relay of signals (61-69) between other wireless detonator assemblies (51-56) in the network. Wireless detonator assemblies (51-59) can disseminate information (such as status information, identity information, firing codes, delay times and environmental conditions) among all of the wireless detonator assemblies in the network, while compensating for signal transmission relay delays at nodes in the network, thereby enabling the wireless detonator assemblies to detonate the explosive charges in accordanc with the delay times. Various wireless detonator assemblies and corresponding blasting apparatus are disclosed and claimed. Methods of blasting using the wireless detonator assemblies and blasting apparatus are also disclosed and claimed.";"HUMMEL DIRK [DE] 
MCCANNS MICHAEL JOHN [US]";ORICA EXPLOSIVES TECH PTY LTD [AU];"EP1859225A1 
EP1859225A4 
EP1859225B1";24.01.2005;"F42D1/055 
F42D3/04 
F42B3/18";"F42D1/055 (EP,US) 
F42D3/04 (EP,US)";"2007-11-28 
2011-08-31 
2015-04-29";27.07.2006;36691929
265;Nuclear reactor fuel assembly cage end unit has lateral supports for tips of fuel pencils in evenly-spaced grid;An end unit (7), designed to receive the tips (19) of nuclear fuel rods (3), has lateral supports (51) for the tips of virtually all the fuel rods in an assembly round the upper ends of sockets in an evenly-spaced grid. The end unit itself is in two parts (29, 31), one of which comprises an anti-debris filter (31).;"LABARRIERE ERIC 
BEATI ANGELO 
BONNAMOUR MICHEL";FRAMATOME ANP [FR];"FR2864323A1 
FR2864323B1";22.12.2003;"G21C3/33 
G21C3/322 
G21C3/33";"G21C3/32 (KR) 
G21C3/322 (EP,KR,US) 
G21C3/33 (KR) 
G21C3/3305 (EP,US) 
Y02E30/30 (EP,US)";"2005-06-24 
2008-07-18";24.06.2005;34630458
266;BOTTOM NOZZLE FILTER DEVICE AND DEBRIS-RESISTANT BOTTOM NOZZLE USING THE DEVICE;"The present invention relates to a bottom nozzle filtering device and a debris-preventive bottom nozzle that can be used for a light water reactor (LWR) nuclear fuel assembly. The bottom nozzle filtering device includes a plurality of successively spliced unit plates; a through flow channel is formed between the spliced adjacent unit plates; the flow channel includes a plurality of spaced straight-section flow inlets, and a plurality of spaced straight-section flow outlets, as well as a flow subchannel communicating with the straight-section flow inlets and the straight-section flow outlets; the outlet section of each straight-section flow inlet in the middle splits respectively into two flow subchannels, and the inlet section of each straight-section flow outlet in the middle communicates respectively with the two flow subchannels. The flow direction of the coolant is controlled by the straight-section flow inlet, the straight-section flow outlet, the flow subchannel, etc. to prevent unnecessary eddies forming, making the pressure loss effectively controlled; after a large size debris is stopped, the flow enters the flow subchannel to be filtered again, realizing staged filtering, thus improving the filtering effect.";"YU WENCHI [CN] 
LI WEICAI [CN] 
ZHOU YUEMIN [CN] 
LV XIANFENG [CN] 
GUO YAN [CN] 
LIU YULI [CN]";"CHINA NUCLEAR POWER TECHNOLOGY RES INST [CN] 
CHINA GUANGDONG NUCLEAR POWER [CN] 
CHINA NUCLEAR POWER TECH RES INST [CN] 
CHINA GUANGDONG NUCLEAR POWER HOLDING [CN]";"EP2642488A1 
EP2642488A4 
EP2642488B1";14.10.2011;"B01D35/02 
G21C3/30 
G21C3/32";"B01D29/03 (EP,US) 
B01D35/02 (US) 
G21C3/3206 (US) 
G21C3/322 (EP,US) 
G21C3/3305 (EP,US) 
Y02E30/30 (EP,US)";"2013-09-25 
2015-03-04 
2017-02-01";18.04.2013;48081369
267;ASSEMBLY FOR THE CONSTRUCTION OF A NUCLEAR REACTOR AND CORRESPONDING METHODS;"The invention relates to an assembly (1) for the construction of a nuclear reactor, comprising: a vessel (3) intended to house a nuclear reactor core; and a prefabricated structure (2) having a shell allowing the prefabricated structure (2) to be used as a floating structure. According to the invention, the prefabricated structure (2) comprises at least: a basin (17) defining at least part of the shell of the prefabricated structure (2); and a sealed chamber (19) disposed inside the basin (17), the vessel (3) being placed inside the chamber (19). The basin (17) is provided in order to cool the chamber (19) under accident conditions and/or to serve as a cold source that supplies a safety cooling circuit (14) of the nuclear reactor.";BRUN MICHEL [FR];SOC TECHNIQUE POUR LENERGIE ATOMIQUE [FR];"EP3443561A2 
EP3443561B1";15.04.2016;"E04H5/02 
G21C11/04 
G21C13/024 
G21D5/02";"G21C11/04 (EP) 
G21C13/024 (EP) 
G21D5/02 (EP) 
Y02E30/00 (EP) 
Y02E30/30 (EP)";"2019-02-20 
2020-07-01";19.10.2017;56896658
268;PERICRITICAL FLUID SYSTEM ASSEMBLY FOR TURBINE ENGINES;A pericritical fluid system (400) for a thermal management system (200) associated with a turbine engine (102) includes one or more sensors configured to generate sensor outputs corresponding to one or more phase properties of a pericritical fluid flowing through a cooling circuit of the thermal management system, and a controller is configured to generate control commands configured to control one or more controllable components of the thermal management system based at least in part on the sensor outputs. The one or more sensors include one or more phase detection sensors, being an acoustic sensor.;"SIBBACH ARTHUR WILLIAM [US] 
DZIECH AARON MICHAEL [US] 
SCHIMMELS SCOTT ALAN [US] 
RACHEDI ROBERT [US] 
RAMBO JEFFREY DOUGLAS [US] 
MILLER BRANDON WAYNE [US]";GEN ELECTRIC [US];EP4520937A1;06.09.2023;"F02C3/30 
F02C6/18 
F02C7/224";"F02C3/30 (EP) 
F02C6/18 (EP) 
F02C7/224 (EP) 
F05D2220/60 (EP) 
F05D2220/72 (EP) 
F05D2260/213 (EP)";12.03.2025;07.03.2025;92295664
269;A SPACER AND A FUEL UNIT FOR A NUCLEAR PLANT;The invention refers to a spacer for holding a number if elongated fuel rods (5) intended to be located in a nuclear plant and to a fuel unit having such spacers. The spacer (30) encloses a number of cells (31), which each has a longitudinal axis and is arranged to re≠ceive a fuel rod (5) in such a way that the fuel rod extends in paral≠lel with the longitudinal axis (x). Each cell (31) is formed by a sleeve-like member (32). Each sleeve-like member (32) is manu≠factured in a sheet-shaped material (60) that is bent to the sleeve≠like shape.;"HELMERSSON STURE [SE] 
LARSSON LEIF [SE] 
NYLUND OLOV [SE] 
SOEDERBERG HAKAN [SE]";WESTINGHOUSE ELECTRIC SWEDEN [SE];"EP1706875A1 
EP1706875B1";15.01.2004;"G21C 
G21C21/00 
G21C3/322 
G21C3/34 
G21C3/322";"G21C3/34 (EP,US) 
G21C3/3424 (EP,US) 
Y02E30/30 (EP,US)";"2006-10-04 
2008-07-16";16.07.2005;31493042
270;CHIMNEY OR RISER AND LOADING/UNLOADING METHODS FOR THE SAME IN NUCLEAR REACTORS;Chimneys include several combinable parts useable in nuclear reactors. The parts are modular and removably joinable without destruction for use in directing flow in an operating nuclear reactor and directly fit in storage area during non-operation. Chimney parts are joinable through flanges and connecting structures. Chimney parts may include partitions that divide or direct energetic coolant flow from a nuclear core as well as steam separating and drying structures. The parts each individually fit within storage areas of the nuclear plant, including equipment or buffer pools in the refueling floor of the plant. Methods move the chimney parts between the reactor and storage areas, and multiple parts may be stacked or nested in such moves. Methods are useable underwater and with storage pools to prevent exposure of chimney parts during an outage. During operation, chimneys are useable in place of existing single-piece chimneys.;"SPRAGUE ROBIN D [US] 
DEAVER GERALD A [US] 
RICKARD DAVID A [US] 
MAJOR DAVID L [US]";GE HITACHI NUCLEAR ENERGY AMERICAS LLC [US];"EP3115996A1 
EP3115996B1";06.07.2015;"G21C1/32 
G21C13/02 
G21C15/26 
G21C19/02 
G21C19/07 
G21C19/19";"G21C13/02 (EP) 
G21C15/26 (EP,US) 
G21C19/02 (US) 
G21C19/19 (EP) 
G21C13/02 (US) 
G21C19/07 (US) 
G21C19/19 (US) 
Y02E30/30 (EP,US)";"2017-01-11 
2018-05-23";11.01.2017;56561209
